capacity_protection,stable_count,low_trap_present,threshold_present,high_state_present
0.0,2,True,True,True
0.05,2,True,True,True
0.1,2,True,True,True
0.15,2,True,True,True
0.2,2,True,True,True
0.25,2,True,True,True
0.3,2,True,True,True
0.35,2,True,True,True
0.4,2,True,True,True
0.45,2,True,True,True
0.5,2,True,True,True
0.55,2,True,True,True
0.6,2,True,True,True
0.65,2,True,True,True
0.7,2,True,True,True
0.75,2,True,True,True
0.8,2,True,True,True
0.85,2,True,True,True
0.9,2,True,True,True
0.95,2,True,True,True
1.0,2,True,True,True
1.05,2,True,True,True
1.1,2,True,True,True
1.15,2,True,True,True
1.2,2,True,True,True
1.25,2,True,True,True
1.3,2,True,True,True
1.35,2,True,True,True
1.4,2,True,True,True
1.45,2,True,True,True
1.5,2,True,True,True
1.55,2,True,True,True
1.6,2,True,True,True
1.65,2,True,True,True
1.7,2,True,True,True
1.75,2,True,True,True
1.8,2,True,True,True
1.85,2,True,True,True
1.9,2,True,True,True
1.95,2,True,True,True
2.0,2,True,True,True
2.05,2,True,True,True
2.1,2,True,True,True
2.15,2,True,True,True
2.2,2,True,True,True
2.25,2,True,True,True
2.3,2,True,True,True
2.35,2,True,True,True
2.4,2,True,True,True
2.45,2,True,True,True
2.5,2,True,True,True
2.55,2,True,True,True
2.6,2,True,True,True
2.65,2,True,True,True
2.7,2,True,True,True
2.75,2,True,True,True
2.8,2,True,True,True
2.85,2,True,True,True
2.9,2,True,True,True
2.95,2,True,True,True
3.0,2,True,True,True
3.05,2,True,True,True
3.1,1,False,False,True
3.15,1,False,False,True
3.2,1,False,False,True
3.25,1,False,False,True
3.3,1,False,False,True
3.35,1,False,False,True
3.4,1,False,False,True
3.45,1,False,False,True
3.5,1,False,False,True
3.55,1,False,False,True
3.6,1,False,False,True
3.65,1,False,False,True
3.7,1,False,False,True
3.75,1,False,False,True
3.8,1,False,False,True
3.85,1,False,False,True
3.9,1,False,False,True
3.95,1,False,False,True
4.0,1,False,False,True
