fixed_exposure,theta,material_growth,survives_long_run,platform_flow_value
0.0,0.0,0.67,True,0.0
0.025,0.3333333333333333,0.3700000000000001,True,0.3332833333333333
0.05,0.5,0.1325,True,0.4998
0.075,0.6,-0.03799999999999998,False,0.59955
0.1,0.6666666666666666,-0.16333333333333327,False,0.6658666666666666
0.125,0.7142857142857143,-0.25857142857142856,False,0.7130357142857143
0.15,0.7499999999999999,-0.3331249999999998,False,0.7481999999999999
0.175,0.7777777777777778,-0.39296296296296307,False,0.7753277777777778
0.2,0.8,-0.44200000000000017,False,0.7968000000000001
0.225,0.8181818181818181,-0.4828925619834709,False,0.8141318181818181
0.25,0.8333333333333334,-0.5175000000000001,False,0.8283333333333334
0.275,0.8461538461538461,-0.5471597633136095,False,0.8401038461538461
0.3,0.8571428571428572,-0.5728571428571431,False,0.8499428571428572
0.325,0.8666666666666667,-0.5953333333333335,False,0.8582166666666667
0.35,0.875,-0.6151562500000001,False,0.8652
0.375,0.8823529411764706,-0.6327681660899654,False,0.8711029411764706
0.4,0.888888888888889,-0.6485185185185187,False,0.8760888888888889
0.425,0.8947368421052632,-0.6626869806094182,False,0.8802868421052632
0.45,0.9,-0.6755,False,0.8838
0.475,0.9047619047619047,-0.6871428571428569,False,0.8867119047619046
0.5,0.9090909090909091,-0.6977685950413223,False,0.889090909090909
0.525,0.9130434782608695,-0.7075047258979205,False,0.8909934782608695
0.55,0.9166666666666666,-0.7164583333333333,False,0.8924666666666666
0.575,0.9199999999999999,-0.7247199999999999,False,0.89355
0.6,0.923076923076923,-0.7323668639053253,False,0.894276923076923
0.625,0.9259259259259258,-0.7394650205761315,False,0.8946759259259258
0.65,0.9285714285714285,-0.7460714285714284,False,0.8947714285714284
0.675,0.9310344827586207,-0.7522354340071344,False,0.8945844827586207
0.7,0.9333333333333332,-0.7579999999999998,False,0.8941333333333332
0.725,0.9354838709677419,-0.7634027055150884,False,0.8934338709677418
0.75,0.9375,-0.7684765625000001,False,0.8925
0.775,0.9393939393939393,-0.773250688705234,False,0.8913439393939393
0.8,0.9411764705882353,-0.7777508650519032,False,0.8899764705882353
0.825,0.9428571428571428,-0.7819999999999999,False,0.8884071428571428
0.85,0.9444444444444444,-0.7860185185185186,False,0.8866444444444445
0.875,0.9459459459459459,-0.7898246895544193,False,0.8846959459459459
0.9,0.9473684210526315,-0.7934349030470913,False,0.8825684210526316
0.925,0.9487179487179487,-0.7968639053254437,False,0.8802679487179487
0.95,0.95,-0.800125,False,0.8777999999999999
0.975,0.951219512195122,-0.8032302201070793,False,0.8751695121951221
1.0,0.9523809523809523,-0.8061904761904761,False,0.8723809523809524
